Repository,PR #,Title,State,Created At,Merged At,Closed At,Additions,Deletions,Net Lines,URL
dataverse-vintedgo-dbt,7047,chore: change join used for `mart_retail_orders`,MERGED,2026-01-26,2026-01-26,2026-01-26,15,1,14,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7047
dataverse-vintedgo-dbt,7032,feat: add return to sender timestamps for flagging,MERGED,2026-01-23,2026-01-23,2026-01-23,80,1,79,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7032
dataverse-vintedgo-dbt,7029,chore: add DHL-EXPRESS to carrier_codes mapping,MERGED,2026-01-23,2026-01-23,2026-01-23,8,4,4,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7029
dataverse-vintedgo-dbt,7020,feat: add parcel dimension configurations to each shipment,MERGED,2026-01-22,2026-01-22,2026-01-22,60,9,51,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7020
dataverse-vintedgo-finance,206,fix: permission error on the DAG,MERGED,2026-01-21,2026-01-22,2026-01-22,19,5,14,https://github.com/vinted/dataverse-vintedgo-finance/pull/206
dataverse-vintedgo-dbt,7007,feat: introduce package sizes into the price lists + unit tests,MERGED,2026-01-21,2026-01-27,2026-01-27,435,87,348,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7007
dataverse-vintedgo-dbt,7001,feat: introduce intermediate model for package types,MERGED,2026-01-21,2026-01-21,2026-01-21,139,0,139,https://github.com/vinted/dataverse-vintedgo-dbt/pull/7001
dataverse-vintedgo-dbt,6990,"feat: create mart for no detail files, which joins information from dim carrier invoice upload to produce invoice from/to mapping",MERGED,2026-01-20,2026-01-22,2026-01-22,290,37,253,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6990
dataverse-vintedgo-dbt,6988,chore: standardise invoice ID for postnord-dk to remove leading zeroes,MERGED,2026-01-20,2026-01-21,2026-01-21,33,24,9,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6988
dataverse-vintedgo-dbt,6987,chore: clean unicodes from invoice number in invoice review main file,MERGED,2026-01-20,2026-01-21,2026-01-21,1,1,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6987
dataverse-vintedgo-dbt,6986,chore: change invoice_id from relais colis all to upper-case,MERGED,2026-01-20,2026-01-21,2026-01-21,3,3,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6986
dataverse-vintedgo-dbt,6982,chore: change unmatched invoice rows back to table,MERGED,2026-01-20,2026-01-20,2026-01-20,18,7,11,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6982
dataverse-vintedgo-dbt,6976,feat: include drop off options parcels carrier services,MERGED,2026-01-20,2026-01-20,2026-01-20,413,0,413,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6976
dataverse-vintedgo-finance,204,chore: use impersonation and run with another SA (shipment joins failures),MERGED,2026-01-16,2026-01-20,2026-01-20,117,148,-31,https://github.com/vinted/dataverse-vintedgo-finance/pull/204
dataverse-vintedgo-dbt,6961,chore: change execution format due to access issues,MERGED,2026-01-16,2026-01-20,2026-01-20,1,1,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6961
dataverse-vintedgo-dbt,6960,fix: invoice ID parsing for HR-POST,MERGED,2026-01-16,2026-01-20,2026-01-20,4,6,-2,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6960
dataverse-vintedgo-dbt,6958,chore: include vintedgo iberia for forced remapping,MERGED,2026-01-16,2026-01-16,2026-01-16,32,32,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6958
dataverse-vintedgo-dbt,6949,chore: change references to vi-dv-prod-data in custom queries,MERGED,2026-01-16,2026-01-16,2026-01-16,18,122,-104,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6949
dataverse-vintedgo-looker,3649,feat: introduce flag for is currently valid for contract carrier prices from the admin tool,MERGED,2026-01-15,2026-01-16,2026-01-16,18,2,16,https://github.com/vinted/dataverse-vintedgo-looker/pull/3649
dataverse-vintedgo-dbt,6941,feat: introduce flag for is currently valid for contract carrier prices from the admin tool,MERGED,2026-01-15,2026-01-16,2026-01-16,22,6,16,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6941
dataverse-vintedgo-dbt,6923,chore: change to soft dependencies dim__transaction_verticals,MERGED,2026-01-15,2026-01-15,2026-01-15,3,3,0,https://github.com/vinted/dataverse-vintedgo-dbt/pull/6923
