repository,pr_number,title,author,state,status,url,is_draft,created_at,merged_at,closed_at,updated_at,source_branch,target_branch,additions,deletions,net_lines_changed,total_lines_changed,commits_count,complexity_score,labels,milestone,linked_issues,total_reviewers,unique_reviewers,review_comments_count,approvals_count,changes_requested_count,review_cycles,time_to_first_review_hours,time_open_hours,time_to_merge_hours,time_in_draft_hours,business_days_open,total_files_changed,file_types_json,programming_languages_json,binary_files_count,test_files_count,documentation_files_count,reactions_json,discussion_participants,total_discussion_comments,mentioned_users,is_security_fix,is_breaking_change
vinted/dataverse-vintedgo-finance,215,chore: replace jeremy.chia in alerts with georgi.evlogiev,jeremychia,merged,open,https://github.com/vinted/dataverse-vintedgo-finance/pull/215,False,2026-02-04 06:38:56+00:00,2026-02-04 07:11:56+00:00,2026-02-04 07:11:56+00:00,2026-02-04 07:11:58+00:00,chore--replace-jeremy.chia-in-alerts-with-georgi.evlogiev,main,6,12,-6,18,0,0.23,,,,0,,0,0,0,0,,0.55,0.55,,,0,{},{},0,0,0,{},,0,,False,False
vinted/dataverse-vintedgo-finance,213,fix: time-zone aware cases,jeremychia,merged,open,https://github.com/vinted/dataverse-vintedgo-finance/pull/213,False,2026-02-03 09:26:17+00:00,2026-02-03 09:31:00+00:00,2026-02-03 09:31:00+00:00,2026-02-03 09:31:01+00:00,fix--time-zone-aware-cases,main,18,10,8,28,0,0.29,,,,0,,0,0,0,0,,0.07861111111111112,0.07861111111111112,,,0,{},{},0,0,0,{},,0,,False,False
vinted/dataverse-vintedgo-finance,212,feat: Add --execute_as_at parameter for MEC cutoff logic to enable Airflow backfills,jeremychia,merged,open,https://github.com/vinted/dataverse-vintedgo-finance/pull/212,False,2026-02-03 08:10:34+00:00,2026-02-03 08:14:11+00:00,2026-02-03 08:14:11+00:00,2026-02-03 08:18:58+00:00,Add---execute_as_at-parameter-for-MEC-cutoff-logic-to-enable-Airflow-backfills,main,41,11,30,52,0,0.53,,,,0,,0,0,0,0,,0.06027777777777778,0.06027777777777778,,,0,{},{},0,0,0,{},,0,,False,False
