pr_number,title,repository,repository_full,state,author,created_at,updated_at,closed_at,comments_count,labels,label_count,days_open,url,body_length,year_month,year,month,quarter,is_merged,is_closed,is_open
2086,Expose HighValueFashion dimensions to Looker (Archived),lookml,vinted/lookml,closed,jeremychia,2023-09-18 19:16:37+00:00,2023-09-18 19:21:09+00:00,2023-09-18 19:20:50+00:00,1,,0,0,https://github.com/vinted/lookml/pull/2086,156,2023-09,2023,9,Q3 2023,False,True,False
2087,Expose HighValueFashion dimensions,lookml,vinted/lookml,merged,jeremychia,2023-09-18 19:20:38+00:00,2023-09-25 14:24:32+00:00,2023-09-25 14:24:30+00:00,0,,0,6,https://github.com/vinted/lookml/pull/2087,156,2023-09,2023,9,Q3 2023,True,False,False
2108,Reformatting Impala Query Profiles,lookml,vinted/lookml,merged,jeremychia,2023-09-22 09:43:24+00:00,2023-09-25 06:31:34+00:00,2023-09-25 06:31:33+00:00,0,,0,2,https://github.com/vinted/lookml/pull/2108,263,2023-09,2023,9,Q3 2023,True,False,False
11486,Join HVF User Dimensions on User All Dims,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-09-22 14:51:34+00:00,2023-09-25 09:46:27+00:00,2023-09-25 09:46:26+00:00,4,,0,2,https://github.com/vinted/warehouse-jobs/pull/11486,121,2023-09,2023,9,Q3 2023,True,False,False
11497,chore: test - ignore,warehouse-jobs,vinted/warehouse-jobs,closed,jeremychia,2023-09-25 11:18:18+00:00,2023-09-25 11:54:38+00:00,2023-09-25 11:54:38+00:00,1,,0,0,https://github.com/vinted/warehouse-jobs/pull/11497,14,2023-09,2023,9,Q3 2023,False,True,False
11504,Update required version of business monitoring tools for MonetisationMetrics,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-09-26 07:04:35+00:00,2023-09-26 07:36:21+00:00,2023-09-26 07:36:20+00:00,1,,0,0,https://github.com/vinted/warehouse-jobs/pull/11504,90,2023-09,2023,9,Q3 2023,True,False,False
2119,Enhancements to HVF Dimensions,lookml,vinted/lookml,merged,jeremychia,2023-09-26 12:51:41+00:00,2023-09-26 13:41:01+00:00,2023-09-26 13:41:00+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2119,62,2023-09,2023,9,Q3 2023,True,False,False
2140,Join HVF User dimensions to Listings,lookml,vinted/lookml,merged,jeremychia,2023-10-02 14:00:30+00:00,2023-10-04 06:43:32+00:00,2023-10-04 06:43:31+00:00,0,,0,1,https://github.com/vinted/lookml/pull/2140,168,2023-10,2023,10,Q4 2023,True,False,False
2147,Change table calculations in Item Sale ,lookml,vinted/lookml,merged,jeremychia,2023-10-04 10:35:30+00:00,2023-10-04 12:53:05+00:00,2023-10-04 12:53:04+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2147,733,2023-10,2023,10,Q4 2023,True,False,False
2148,Optimisation: add dimensions and measures in Items Sale,lookml,vinted/lookml,merged,jeremychia,2023-10-04 14:54:56+00:00,2023-10-05 07:23:16+00:00,2023-10-05 07:19:15+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2148,1323,2023-10,2023,10,Q4 2023,True,False,False
11626,Replace dependencies on Catalog Information with CatalogsDimensions,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-05 08:11:39+00:00,2023-10-06 08:23:06+00:00,2023-10-05 13:14:04+00:00,5,,0,0,https://github.com/vinted/warehouse-jobs/pull/11626,510,2023-10,2023,10,Q4 2023,True,False,False
11632,Move transformation for HVF category to CatalogsDimension,warehouse-jobs,vinted/warehouse-jobs,closed,jeremychia,2023-10-05 12:00:12+00:00,2023-10-06 08:42:18+00:00,2023-10-06 08:42:17+00:00,5,,0,0,https://github.com/vinted/warehouse-jobs/pull/11632,281,2023-10,2023,10,Q4 2023,False,True,False
2155,Fix label name item_sale,lookml,vinted/lookml,merged,jeremychia,2023-10-05 13:47:09+00:00,2023-10-10 06:56:48+00:00,2023-10-10 06:56:47+00:00,0,,0,4,https://github.com/vinted/lookml/pull/2155,30,2023-10,2023,10,Q4 2023,True,False,False
11646,Add dimensions.catalogs to user_items_hourly_module,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-06 06:51:11+00:00,2023-10-06 08:22:40+00:00,2023-10-06 07:03:38+00:00,1,,0,0,https://github.com/vinted/warehouse-jobs/pull/11646,611,2023-10,2023,10,Q4 2023,True,False,False
11649,Move transformation for HVF category to CatalogsDimension,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-06 08:41:47+00:00,2023-10-06 09:04:25+00:00,2023-10-06 09:04:24+00:00,1,,0,0,https://github.com/vinted/warehouse-jobs/pull/11649,281,2023-10,2023,10,Q4 2023,True,False,False
11670,Replace Catalogs dependency in UserListingsDominantCategoryBatchView,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-09 11:31:39+00:00,2023-10-10 08:18:14+00:00,2023-10-10 08:18:13+00:00,2,,0,0,https://github.com/vinted/warehouse-jobs/pull/11670,762,2023-10,2023,10,Q4 2023,True,False,False
11687,Batch view for Offline Verification Item Sales,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-10 06:05:02+00:00,2023-10-10 16:57:56+00:00,2023-10-10 16:52:19+00:00,8,,0,0,https://github.com/vinted/warehouse-jobs/pull/11687,315,2023-10,2023,10,Q4 2023,True,False,False
2180,Expose offline_verification_item_sale_weekly_data,lookml,vinted/lookml,merged,jeremychia,2023-10-10 17:19:52+00:00,2023-10-11 06:48:33+00:00,2023-10-11 06:48:32+00:00,0,,0,0,https://github.com/vinted/lookml/pull/2180,280,2023-10,2023,10,Q4 2023,True,False,False
11714,Amend HAOV Item Sale Batch View,warehouse-jobs,vinted/warehouse-jobs,merged,jeremychia,2023-10-11 06:38:53+00:00,2023-10-11 08:52:26+00:00,2023-10-11 08:52:25+00:00,2,,0,0,https://github.com/vinted/warehouse-jobs/pull/11714,794,2023-10,2023,10,Q4 2023,True,False,False
